Référence produit;Libelle produit;Description courte;Description longue;Identifiant Fournisseur;Nom fournisseur;Prix produit;Photo produit
bass001;Biarritz;Curabitur sodales sem vitae ex commodo;Curabitur sodales sem vitae ex commodo, in ullamcorper quam congue. Aliquam erat volutpat. Praesent mollis at velit eu molestie. Proin ac tellus a enim venenatis ultrices vitae sed libero. Vivamus at vulputate orci. Curabitur mattis ac turpis id tempus. Sed turpis enim, egestas ac arcu et, elementum luctus ante.;3;Droit Music;999.00;jpg
bass002;Cannes;Morbi porta ultricies nibh vel varius;Morbi porta ultricies nibh vel varius. Vestibulum nec rutrum ex, vel posuere nisi. Ut scelerisque sit amet ligula sed imperdiet. Morbi lacinia sapien in elementum iaculis.;1;Music 75;790.20;png
bass003;Crotoy;Vivamus a ultrices enim.;Vivamus a ultrices enim. Etiam at viverra justo. Cras consectetur justo euismod mi maximus, ac tincidunt leo suscipit. Quisque fermentum, dui eu elementum sagittis, risus lorem placerat ipsum, vitae venenatis tellus sapien id nibh.;4;Corrida Music;1100.00;jpg
bass004;Agave;Curabitur sodales sem vitae ex commodo;Curabitur sodales sem vitae ex commodo, in ullamcorper quam congue. Aliquam erat volutpat. Praesent mollis at velit eu molestie.;1;Music 75;2000.99;jpg
batterie001;batterie SCM0555;raesent ante felis;raesent ante felis, iaculis vitae lectus sed, luctus laoreet metus. Aenean mattis egestas eleifend. Morbi dictum erat ut lorem porta, a volutpat nibh ultrices. Nunc ut tortor ac velit fringilla dictum at non nulla.;4;Corrida Music;1110.00;jpg
batterie002;batterie SCM0666;Cras nec dapibus erat;Cras nec dapibus erat. Cras bibendum auctor dui quis tristique.;3;Droit Music;1220.00;jpg
batterie003;batterie H062;Etiam eu sem ligula.;Etiam eu sem ligula. Donec aliquet velit a condimentum sagittis. Nullam ipsum augue, porta non vestibulum cursus, eleifend tempor erat. Proin et turpis molestie augue mollis laoreet. Nulla lorem tellus, pellentesque nec hendrerit vehicula, consectetur non nisl. Maecenas eget accumsan lectus. Vivamus eleifend lorem scelerisque augue rutrum laoreet. ;3;Droit Music;2100.00;jpg
batterie004;Titan;Là où passe Attila;Là où passe Attila, l herbe ne repousse pas.;2;Royez Music;799.90;jpg
flute001;Dark;Vel porta orci convallis;Vel porta orci convallis. Duis sodales vehicula porta. Etiam sit amet scelerisque massa.;2;Royez Music;100.00;jpg
flute002;Fuschia;Praesent nunc dui;Praesent nunc dui, porta at leo eget, iaculis ultrices quam. Mauris vulputate metus in nisl aliquam, et sollicitudin nisl mollis. Lorem ipsum dolor sit amet, consectetur adipiscing elit.;3;Droit Music;678.00;jpg
flute003;Iris;hac habitasse platea dictumst;hac habitasse platea dictumst. Quisque at sagittis nunc.;1;Music 75;987.00;png
flute004;Bahco;Suspendisse congue nibh sed dui commodo sollicitudin.;Suspendisse congue nibh sed dui commodo sollicitudin. Vestibulum augue eros, accumsan vel vulputate ut, gravida id libero. Nullam sodales urna id nulla porta vestibulum. Aliquam lectus lacus, tincidunt nec metus.;4;Corrida Music;99.99;jpg
