Référence produit;Prix produit particulier1;Prix produit particulier2;Prix produit particulier3;Prix produit professionne1;Prix produit professionnel2;Prix produit professionnel3
bass001;987.81;981.02;978.62;975.62;969.03;967.03
bass002;781.35;775.98;774.08;771.71;766.49;764.91
bass003;1087.68;1080.20;1077.56;1074.26;1067.00;1064.80
bass004;1978.58;1964.97;1960.17;1954.17;1940.96;1936.96
batterie001;1097.57;1090.02;1087.36;1084.03;1076.70;1074.48
batterie002;1206.34;1198.04;1195.11;1191.45;1183.40;1180.96
batterie003;2076.48;2062.20;2057.16;2050.86;2037.00;2032.80
batterie004;790.94;785.50;783.58;781.18;775.90;774.30
flute001;98.88;98.20;97.96;97.66;97.00;96.80
flute002;670.41;665.80;664.17;662.13;657.66;656.30
flute003;975.95;969.23;966.87;963.90;957.39;955.42
flute004;98.87;98.19;97.95;97.65;96.99;96.79
guitare001;108.77;108.02;107.76;107.43;106.70;106.48
guitare002;296.64;294.60;293.88;292.98;291.00;290.40
guitare003;296.63;294.59;293.87;292.97;290.99;290.39
guitare004;987.81;981.02;978.62;975.62;969.03;967.03
percussion001;691.17;686.42;684.74;682.64;678.03;676.63
percussion002;780.16;774.80;772.90;770.54;765.33;763.75
percussion003;341.14;338.79;337.96;336.93;334.65;333.96
percussion004;109.75;108.99;108.73;108.39;107.66;107.44
piano001;1097.57;1090.02;1087.36;1084.03;1076.70;1074.48
piano002;1186.56;1178.40;1175.52;1171.92;1164.00;1161.60
piano003;2284.13;2268.42;2262.88;2255.95;2240.70;2236.08
piano004;4449.60;4419.00;4408.20;4394.70;4365.00;4356.00
saxophone001;296.64;294.60;293.88;292.98;291.00;290.40
saxophone002;444.96;441.90;440.82;439.47;436.50;435.60
saxophone003;603.17;599.02;597.56;595.73;591.70;590.48
sono001;109.66;108.90;108.64;108.30;107.57;107.35
sono002;217.54;216.04;215.51;214.85;213.40;212.96
sono003;1087.68;1080.20;1077.56;1074.26;1067.00;1064.80
